"item","Qantity","price","link to buy"
"Pla+ filament","17gram","0.2$","https://india.numakers.com/products/pla-filament"
"Pla+ filament","50gram","0.5$","https://india.numakers.com/products/pla-filament"
"Total","67gram","0.7$",""
